Retention Time,charge,Light Mass, Light Abundance, Heavy Mass, Heavy Abundance, Ratio
1800.76, 3,442.588226318, 1694412.625, 445.260772705, 2084253.375, 1.23007427131
1800.76, 3,442.588226318, 1694412.625, 445.262542725, 2249928.0, 1.32785129596
1800.76, 3,442.588226318, 1694412.625, 445.264343262, 1712154.375, 1.01047073761
1800.76, 3,442.58996582, 2340441.75, 445.259002686, 1348172.0, 0.576033135625
1800.76, 3,442.58996582, 2340441.75, 445.260772705, 2084253.375, 0.890538452837
1800.76, 3,442.58996582, 2340441.75, 445.262542725, 2249928.0, 0.961326211174
1800.76, 3,442.58996582, 2340441.75, 445.264343262, 1712154.375, 0.731551799997
1800.76, 3,442.59173584, 2274519.25, 445.259002686, 1348172.0, 0.592728331492
1800.76, 3,442.59173584, 2274519.25, 445.260772705, 2084253.375, 0.916348971327
1800.76, 3,442.59173584, 2274519.25, 445.262542725, 2249928.0, 0.989188374642
1800.76, 3,442.59173584, 2274519.25, 445.264343262, 1712154.375, 0.752754400738
1800.76, 3,442.593505859, 1541364.75, 445.259002686, 1348172.0, 0.874661237712
1800.76, 3,442.593505859, 1541364.75, 445.260772705, 2084253.375, 1.3522129496
1800.76, 3,442.593505859, 1541364.75, 445.262542725, 2249928.0, 1.45969862098
1800.76, 3,442.593505859, 1541364.75, 445.264343262, 1712154.375, 1.11080415911
1800.76, 3,442.922515869, 1169810.625, 445.594543457, 1258843.375, 1.0761086864
1800.76, 3,442.922515869, 1169810.625, 445.596343994, 1470572.875, 1.25710336662
1800.76, 3,442.922515869, 1169810.625, 445.598114014, 1215379.75, 1.03895427518
1800.76, 3,442.924285889, 1618159.625, 445.594543457, 1258843.375, 0.777947586599
1800.76, 3,442.924285889, 1618159.625, 445.596343994, 1470572.875, 0.908793454169
1800.76, 3,442.924285889, 1618159.625, 445.598114014, 1215379.75, 0.751087674679
1800.76, 3,442.926025391, 1575597.25, 445.594543457, 1258843.375, 0.798962663206
1800.76, 3,442.926025391, 1575597.25, 445.596343994, 1470572.875, 0.93334313385
1800.76, 3,442.926025391, 1575597.25, 445.598114014, 1215379.75, 0.771377171419
1800.76, 3,442.92779541, 1071479.75, 445.594543457, 1258843.375, 1.17486436398
1800.76, 3,442.92779541, 1071479.75, 445.596343994, 1470572.875, 1.37246912506
1800.76, 3,442.92779541, 1071479.75, 445.598114014, 1215379.75, 1.13430025159
1801.98, 3,442.588226318, 1244361.25, 445.259002686, 1114453.375, 0.895602764069
1801.98, 3,442.588226318, 1244361.25, 445.260772705, 1344198.0, 1.0802313235
1801.98, 3,442.588226318, 1244361.25, 445.262542725, 1139105.75, 0.915414032702
1801.98, 3,442.58996582, 1354332.75, 445.259002686, 1114453.375, 0.822880030775
1801.98, 3,442.58996582, 1354332.75, 445.260772705, 1344198.0, 0.992516794709
1801.98, 3,442.58996582, 1354332.75, 445.262542725, 1139105.75, 0.841082629066
1801.98, 3,442.59173584, 1035637.5625, 445.259002686, 1114453.375, 1.07610366344
1801.98, 3,442.59173584, 1035637.5625, 445.260772705, 1344198.0, 1.29794249327
1801.98, 3,442.59173584, 1035637.5625, 445.262542725, 1139105.75, 1.09990771989
1806.06, 3,442.58996582, 1217500.0, 445.260772705, 1102596.0, 0.905622997947
1806.06, 3,442.58996582, 1217500.0, 445.262542725, 1125137.125, 0.924137268994
1806.06, 3,442.59173584, 1100690.625, 445.260772705, 1102596.0, 1.00173107225
1806.06, 3,442.59173584, 1100690.625, 445.262542725, 1125137.125, 1.02221014647
1892.1, 3,560.29888916, 1235304.0, 562.968444824, 1012474.25, 0.819615454981
1892.1, 3,560.29888916, 1235304.0, 562.970947266, 1584050.5, 1.28231633671
1892.1, 3,560.29888916, 1235304.0, 562.973449707, 1730604.125, 1.40095403642
1892.1, 3,560.29888916, 1235304.0, 562.976013184, 1333829.5, 1.07975810003
1892.1, 3,560.301391602, 1535667.125, 562.968444824, 1012474.25, 0.659305804961
1892.1, 3,560.301391602, 1535667.125, 562.970947266, 1584050.5, 1.03150642103
1892.1, 3,560.301391602, 1535667.125, 562.973449707, 1730604.125, 1.12693961916
1892.1, 3,560.301391602, 1535667.125, 562.976013184, 1333829.5, 0.868566812616
1892.1, 3,560.303894043, 1352507.875, 562.968444824, 1012474.25, 0.748590280851
1892.1, 3,560.303894043, 1352507.875, 562.970947266, 1584050.5, 1.17119502909
1892.1, 3,560.303894043, 1352507.875, 562.973449707, 1730604.125, 1.27955197673
1892.1, 3,560.303894043, 1352507.875, 562.976013184, 1333829.5, 0.98618982163
1892.1, 3,560.632202148, 1003798.9375, 563.304077148, 1192268.75, 1.18775653715
1892.1, 3,560.632202148, 1003798.9375, 563.30657959, 1459857.125, 1.45433220784
1892.1, 3,560.632202148, 1003798.9375, 563.309143066, 1270074.0, 1.2652673285
1892.1, 3,560.63470459, 1399990.75, 563.304077148, 1192268.75, 0.85162616253
1892.1, 3,560.63470459, 1399990.75, 563.30657959, 1459857.125, 1.04276197896
1892.1, 3,560.63470459, 1399990.75, 563.309143066, 1270074.0, 0.907201708297
1892.1, 3,560.637207031, 1374397.75, 563.304077148, 1192268.75, 0.867484503667
1892.1, 3,560.637207031, 1374397.75, 563.30657959, 1459857.125, 1.06217950735
1892.1, 3,560.637207031, 1374397.75, 563.309143066, 1270074.0, 0.9240949354
1894.49, 3,560.296386719, 1349693.125, 562.968444824, 2057822.625, 1.52465963328
1894.49, 3,560.296386719, 1349693.125, 562.978515625, 2405040.25, 1.78191635228
1894.49, 3,560.29888916, 2845499.75, 562.968444824, 2057822.625, 0.723184960744
1894.49, 3,560.29888916, 2845499.75, 562.970947266, 3712617.75, 1.3047331141
1894.49, 3,560.29888916, 2845499.75, 562.973449707, 4584803.5, 1.61124719832
1894.49, 3,560.29888916, 2845499.75, 562.976013184, 4006884.0, 1.40814772519
1894.49, 3,560.29888916, 2845499.75, 562.978515625, 2405040.25, 0.845208385627
1894.49, 3,560.301391602, 3996870.25, 562.968444824, 2057822.625, 0.514858500848
1894.49, 3,560.301391602, 3996870.25, 562.970947266, 3712617.75, 0.928881229007
1894.49, 3,560.301391602, 3996870.25, 562.973449707, 4584803.5, 1.14709840781
1894.49, 3,560.301391602, 3996870.25, 562.976013184, 4006884.0, 1.00250539782
1894.49, 3,560.301391602, 3996870.25, 562.978515625, 2405040.25, 0.601730879305
1894.49, 3,560.303894043, 3961981.0, 562.968444824, 2057822.625, 0.519392350695
1894.49, 3,560.303894043, 3961981.0, 562.970947266, 3712617.75, 0.937060967733
1894.49, 3,560.303894043, 3961981.0, 562.973449707, 4584803.5, 1.15719976951
1894.49, 3,560.303894043, 3961981.0, 562.976013184, 4006884.0, 1.01133347182
